size_m2,bedrooms,age_years,distance_km,has_garage,neighborhood_quality,price_million_idr
137.4,1,3.2,14.7,0,3,157.04
115.2,2,2.1,8.35,1,3,135.1
142.7,1,5.3,10.66,1,5,137.27
173.3,7,22.7,4.17,1,1,152.37
111.8,6,9.6,23.99,1,3,179.52
111.8,1,3.9,18.32,1,4,142.21
175.3,1,2.7,4.08,0,3,186.29
146.9,4,6.1,0.2,0,3,185.75
103.6,5,42.2,6.91,0,2,108.61
139.0,5,6.3,13.48,1,4,164.08
103.8,1,66.5,11.92,1,3,74.03
103.7,5,10.0,20.03,1,4,86.31
128.5,3,3.0,16.32,1,3,125.41
53.0,7,33.3,17.76,1,3,99.08
59.6,3,9.3,12.61,1,4,131.84
100.3,3,18.6,0.2,0,3,144.28
84.6,3,61.8,8.43,1,3,126.52
131.0,4,0.8,18.48,1,3,195.69
88.2,4,1.5,9.59,0,4,177.59
70.6,3,19.1,14.02,1,3,112.95
171.3,3,5.0,7.45,0,3,191.29
112.1,3,3.1,1.76,0,1,99.32
122.4,2,0.6,9.01,0,5,192.25
70.1,4,0.3,12.47,1,1,142.15
100.9,1,22.3,4.75,0,3,122.96
123.9,1,2.2,8.11,1,3,202.26
79.7,7,9.5,2.48,0,3,122.06
133.1,1,14.0,18.95,1,3,84.53
99.0,1,8.4,7.64,1,1,118.53
109.8,1,0.4,21.62,1,3,108.5
98.9,3,23.0,22.23,1,4,153.51
184.8,1,0.2,9.35,0,4,193.94
119.5,3,21.5,1.93,0,2,113.99
83.0,6,33.6,0.2,0,4,162.69
148.8,1,8.5,0.2,1,3,135.3
77.3,2,11.5,0.2,0,4,101.71
127.3,3,9.7,21.03,1,3,160.59
51.4,3,7.4,10.93,0,3,111.3
73.5,7,32.8,13.12,0,5,165.53
126.9,5,33.7,0.2,1,4,154.55
145.8,2,6.1,0.42,0,3,166.82
126.0,1,14.3,17.1,1,2,66.15
116.0,7,39.2,12.29,1,3,204.7
109.5,5,49.1,8.82,1,3,130.46
68.3,3,10.7,14.52,1,2,52.4
94.8,2,9.0,23.09,0,2,64.5
103.9,3,4.9,8.23,1,4,142.87
157.0,2,47.9,10.55,1,1,166.79
132.0,4,2.3,11.54,1,3,150.57
58.3,3,13.0,29.14,0,2,10.0
131.3,3,5.0,0.2,0,3,112.5
106.5,6,4.9,15.47,0,1,118.18
96.3,1,7.8,9.08,0,2,73.59
141.4,4,100.8,14.53,1,4,95.53
156.1,2,0.8,4.74,1,4,240.27
152.6,2,13.0,9.61,1,2,173.59
90.6,3,1.3,15.69,1,3,118.78
109.2,3,2.5,34.9,0,3,114.75
131.6,1,8.7,16.46,1,4,161.65
154.1,3,10.7,3.22,0,4,175.23
103.2,2,4.5,6.61,1,3,109.64
113.5,4,5.7,6.37,1,3,193.56
81.3,6,1.4,0.2,1,4,207.73
78.1,5,5.4,7.36,0,1,111.49
148.4,5,51.0,15.86,0,3,123.21
167.5,3,43.4,0.2,0,5,235.0
117.5,3,6.1,18.39,1,4,124.29
155.1,1,12.7,13.9,0,3,134.94
132.7,3,36.1,4.13,1,3,208.19
97.4,4,0.1,8.87,1,3,132.9
132.6,6,25.0,22.79,0,3,94.48
173.8,2,44.5,15.87,1,3,122.59
118.7,1,1.4,10.07,0,3,153.93
174.8,2,2.6,8.1,1,4,217.89
30.0,2,48.6,10.61,1,4,61.32
148.8,1,11.6,5.91,0,2,123.19
123.0,2,0.2,0.2,1,3,189.39
109.5,5,4.5,26.34,0,3,89.08
123.2,6,9.0,11.24,1,3,192.15
50.4,4,17.7,13.19,0,2,46.59
112.3,2,19.8,9.54,1,3,106.17
132.5,5,80.8,4.12,1,4,158.18
171.7,4,5.1,8.51,1,3,199.29
101.9,3,11.6,0.2,1,5,190.73
91.7,4,11.4,28.22,0,5,119.17
102.4,1,7.8,0.2,1,2,18.9
152.0,2,2.8,1.74,1,2,153.65
131.5,2,56.9,6.48,1,5,155.82
101.5,3,28.8,20.3,1,5,178.16
138.0,5,10.3,10.12,0,1,112.51
123.4,3,13.9,0.2,0,1,141.17
153.9,5,3.9,20.03,1,2,207.95
95.4,2,11.8,15.85,0,5,86.45
108.5,4,17.8,14.31,1,2,135.97
106.3,5,10.9,15.73,1,3,123.21
68.8,2,69.5,29.15,0,4,12.24
130.4,1,14.2,27.48,1,1,41.41
129.1,1,7.0,4.51,0,3,121.61
120.2,4,22.2,22.99,0,2,179.23
111.8,3,2.8,13.07,1,4,182.7
70.5,4,7.3,13.99,0,2,120.8
105.3,1,6.4,0.2,0,3,150.29
108.0,1,8.5,8.64,1,3,79.38
91.9,2,22.8,3.5,0,2,115.22
114.4,2,9.9,16.62,1,1,124.15
134.1,1,23.7,18.57,0,3,78.44
186.0,2,12.9,0.2,0,2,220.83
126.1,5,6.3,9.82,1,4,216.32
129.0,2,24.9,18.97,1,4,190.88
117.4,3,4.1,8.51,0,3,133.07
52.8,4,3.8,15.83,1,3,64.86
119.1,2,10.5,12.81,1,3,124.12
122.1,2,4.5,12.73,1,4,198.65
206.2,2,0.1,7.83,1,3,167.48
113.3,5,15.7,0.27,1,2,112.06
130.6,3,10.7,1.03,1,2,171.19
118.8,2,8.8,15.67,1,3,115.14
79.1,4,51.2,10.16,0,3,97.54
160.0,7,12.7,8.89,1,3,254.78
146.3,1,29.9,6.61,1,1,106.02
147.7,7,2.3,7.56,1,4,183.94
88.2,3,12.6,18.38,1,2,151.62
169.1,1,30.4,7.32,1,2,123.88
70.9,2,13.1,0.2,1,3,94.92
140.5,1,19.0,15.95,1,2,148.18
196.7,4,7.0,8.36,0,3,206.41
85.3,3,1.5,10.25,0,3,115.01
100.2,2,9.2,22.86,0,3,97.88
123.5,1,7.5,9.84,0,3,157.95
102.4,2,30.3,12.31,0,2,75.98
